city_or_municipality,barangay,basic_education,households_magnitude,households_proportion,households_total,population_male_magnitude,population_female_magnitude,population_total_magnitude,population_male_proportion,population_female_proportion
Aurora,Acad,population,181,-,971,514,457,100,52.9,47.1
Aurora,Acad,average household size,5,-,-,-,-,-,-,-
Aurora,Acad,children 0-5 years old,95,52.5,160,86,74,16.5,16.7,16.2
Aurora,Acad,children 6-12 years old,100,55.2,191,97,94,19.7,18.9,20.6
Aurora,Acad,members 13-16 years old,73,40.3,106,53,53,10.9,10.3,11.6
Aurora,Acad,members 6-16 years old,118,65.2,297,150,147,30.6,29.2,32.2
Aurora,Acad,members 10 years old and above,181,100,698,367,331,71.9,71.4,72.4
Aurora,Acad,members of the labor force,174,96.1,338,203,135,34.8,39.5,29.5
Aurora,Alang-alang,population,97,-,423,225,198,100,53.2,46.8
Aurora,Alang-alang,average household size,4,-,-,-,-,-,-,-
Aurora,Alang-alang,children 0-5 years old,43,44.3,66,32,34,15.6,14.2,17.2
Aurora,Alang-alang,children 6-12 years old,54,55.7,90,50,40,21.3,22.2,20.2
Aurora,Alang-alang,members 13-16 years old,36,37.1,52,32,20,12.3,14.2,10.1
Aurora,Alang-alang,members 6-16 years old,64,66,142,82,60,33.6,36.4,30.3
Aurora,Alang-alang,members 10 years old and above,97,100,311,168,143,73.5,74.7,72.2
Aurora,Alang-alang,members of the labor force,89,91.8,131,95,36,31,42.2,18.2
Aurora,Alegria,population,81,-,353,190,162,100,53.8,45.9
Aurora,Alegria,average household size,4,-,-,-,-,-,-,-
Aurora,Alegria,children 0-5 years old,36,44.4,49,34,15,13.9,17.9,9.3
Aurora,Alegria,children 6-12 years old,35,43.2,58,33,25,16.4,17.4,15.4
Aurora,Alegria,members 13-16 years old,24,29.6,35,20,15,9.9,10.5,9.3
Aurora,Alegria,members 6-16 years old,44,54.3,93,53,40,26.3,27.9,24.7
Aurora,Alegria,members 10 years old and above,81,100,271,136,135,76.8,71.6,83.3
Aurora,Alegria,members of the labor force,78,96.3,138,82,56,39.1,43.2,34.6
Aurora,Anonang,population,312,-,1582,810,772,100,51.2,48.8
Aurora,Anonang,average household size,5,-,-,-,-,-,-,-
Aurora,Anonang,children 0-5 years old,143,45.8,217,105,112,13.7,13,14.5
Aurora,Anonang,children 6-12 years old,156,50,285,140,145,18,17.3,18.8
Aurora,Anonang,members 13-16 years old,140,44.9,209,112,97,13.2,13.8,12.6
Aurora,Anonang,members 6-16 years old,206,66,494,252,242,31.2,31.1,31.3
Aurora,Anonang,members 10 years old and above,312,100,1202,624,578,76,77,74.9
Aurora,Anonang,members of the labor force,300,96.2,463,358,105,29.3,44.2,13.6
Aurora,Bagong Mandaue,population,74,-,351,182,169,100,51.9,48.1
Aurora,Bagong Mandaue,average household size,5,-,-,-,-,-,-,-
Aurora,Bagong Mandaue,children 0-5 years old,35,47.3,64,33,31,18.2,18.1,18.3
Aurora,Bagong Mandaue,children 6-12 years old,37,50,62,26,36,17.7,14.3,21.3
Aurora,Bagong Mandaue,members 13-16 years old,27,36.5,39,22,17,11.1,12.1,10.1
Aurora,Bagong Mandaue,members 6-16 years old,42,56.8,101,48,53,28.8,26.4,31.4
Aurora,Bagong Mandaue,members 10 years old and above,74,100,247,129,118,70.4,70.9,69.8
Aurora,Bagong Mandaue,members of the labor force,74,100,149,88,61,42.5,48.4,36.1
Aurora,Bagong Maslog,population,110,-,520,277,243,100,53.3,46.7
Aurora,Bagong Maslog,average household size,5,-,-,-,-,-,-,-
Aurora,Bagong Maslog,children 0-5 years old,56,50.9,95,54,41,18.3,19.5,16.9
Aurora,Bagong Maslog,children 6-12 years old,64,58.2,99,48,51,19,17.3,21
