city_or_municipality,barangay,basic_education,households_magnitude,households_proportion,households_total,population_male_magnitude,population_female_magnitude,population_total_magnitude,population_male_proportion,population_female_proportion
Aurora,Acad,children 6-12 years old not attending elementary,35,35,49,25,24,25.7,25.8,25.5
Aurora,Acad,children 13-16 years old not attending high school,49,67.1,63,38,25,59.4,71.7,47.2
Aurora,Acad,children 6-16 years old not attending school,45,38.1,65,34,31,21.9,22.7,21.1
Aurora,Alang-alang,children 6-12 years old not attending elementary,15,27.8,16,7,9,17.8,14,22.5
Aurora,Alang-alang,children 13-16 years old not attending high school,14,38.9,19,14,5,36.5,43.8,25
Aurora,Alang-alang,children 6-16 years old not attending school,14,21.9,15,11,4,10.6,13.4,6.7
Aurora,Alegria,children 6-12 years old not attending elementary,11,31.4,14,8,6,24.1,24.2,24
Aurora,Alegria,children 13-16 years old not attending high school,11,45.8,12,9,3,34.3,45,20
Aurora,Alegria,children 6-16 years old not attending school,11,25,14,8,6,15.1,15.1,15
Aurora,Anonang,children 6-12 years old not attending elementary,61,39.1,73,42,31,25.6,30,21.4
Aurora,Anonang,children 13-16 years old not attending high school,66,47.1,89,52,37,42.6,46.4,38.1
Aurora,Anonang,children 6-16 years old not attending school,71,34.5,104,66,38,21.1,26.2,15.7
Aurora,Bagong Mandaue,children 6-12 years old not attending elementary,11,29.7,14,2,12,22.6,7.7,33.3
Aurora,Bagong Mandaue,children 13-16 years old not attending high school,22,81.5,27,16,11,69.2,72.7,64.7
Aurora,Bagong Mandaue,children 6-16 years old not attending school,19,45.2,27,14,13,26.7,29.2,24.5
Aurora,Bagong Maslog,children 6-12 years old not attending elementary,16,25,21,8,13,21.2,16.7,25.5
Aurora,Bagong Maslog,children 13-16 years old not attending high school,28,73.7,34,20,14,72.3,74.1,70
Aurora,Bagong Maslog,children 6-16 years old not attending school,17,23.3,23,15,8,15.8,20,11.3
Aurora,Bagong Oslob,children 6-12 years old not attending elementary,23,41.1,26,18,8,26.5,30.5,20.5
Aurora,Bagong Oslob,children 13-16 years old not attending high school,17,44.7,24,12,12,44.4,48,41.4
Aurora,Bagong Oslob,children 6-16 years old not attending school,21,30,29,18,11,19.1,21.4,16.2
Aurora,Bagong Pitogo,children 6-12 years old not attending elementary,14,32.6,21,14,7,32.3,41.2,22.6
