city_or_municipality,barangay,basic_education,households_magnitude,households_proportion,households_total,population_male_magnitude,population_female_magnitude,population_total_magnitude,population_male_proportion,population_female_proportion
Aurora,Acad,children 0-5 year old who died,0,0,0,0,0,0,0,0
Aurora,Acad,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Aurora,Acad,malnourished children 0-5 year old,4,4.2,6,3,3,3.8,3.5,4.1
Aurora,Alang-alang,children 0-5 year old who died,3,6.8,3,2,1,4.3,5.9,2.9
Aurora,Alang-alang,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Aurora,Alang-alang,malnourished children 0-5 year old,2,4.7,2,2,0,3,6.3,0
Aurora,Alegria,children 0-5 year old who died,0,0,0,0,0,0,0,0
Aurora,Alegria,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Aurora,Alegria,malnourished children 0-5 year old,4,11.1,7,6,1,14.3,17.6,6.7
Aurora,Anonang,children 0-5 year old who died,0,0,0,0,0,0,0,0
Aurora,Anonang,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Aurora,Anonang,malnourished children 0-5 year old,1,0.7,1,1,0,0.5,1,0
Aurora,Bagong Mandaue,children 0-5 year old who died,0,0,0,0,0,0,0,0
Aurora,Bagong Mandaue,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Aurora,Bagong Mandaue,malnourished children 0-5 year old,9,25.7,13,7,6,20.3,21.2,19.4
Aurora,Bagong Maslog,children 0-5 year old who died,0,0,0,0,0,0,0,0
Aurora,Bagong Maslog,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Aurora,Bagong Maslog,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Aurora,Bagong Oslob,children 0-5 year old who died,1,1.6,1,0,1,1.1,0,1.9
Aurora,Bagong Oslob,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Aurora,Bagong Oslob,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Aurora,Bagong Pitogo,children 0-5 year old who died,0,0,0,0,0,0,0,0
Aurora,Bagong Pitogo,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Aurora,Bagong Pitogo,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Aurora,Baki,children 0-5 year old who died,0,0,0,0,0,0,0,0
Aurora,Baki,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Aurora,Baki,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Aurora,Balas,children 0-5 year old who died,2,1,2,2,0,0.6,1.1,0
Aurora,Balas,women who died due to pregnancy related-causes,1,1.4,1,0,0,1.4,0,0
Aurora,Balas,malnourished children 0-5 year old,7,3.4,11,5,6,3.2,2.8,3.6
Aurora,Balide,children 0-5 year old who died,0,0,0,0,0,0,0,0
Aurora,Balide,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Aurora,Balide,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Aurora,Balintawak,children 0-5 year old who died,1,0.9,1,1,0,0.6,1.1,0
Aurora,Balintawak,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Aurora,Balintawak,malnourished children 0-5 year old,3,2.7,3,3,0,1.8,3.5,0
Aurora,Bayabas,children 0-5 year old who died,1,0.9,1,1,0,0.5,0.9,0
Aurora,Bayabas,women who died due to pregnancy related-causes,1,7.1,1,0,0,7.1,0,0
Aurora,Bayabas,malnourished children 0-5 year old,1,0.9,1,1,0,0.5,0.9,0
Aurora,Bemposa,children 0-5 year old who died,1,1.6,1,0,1,1,0,2.4
Aurora,Bemposa,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Aurora,Bemposa,malnourished children 0-5 year old,3,4.8,4,1,3,4.2,1.9,7.3
Aurora,Cabilinan,children 0-5 year old who died,0,0,0,0,0,0,0,0
Aurora,Cabilinan,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Aurora,Cabilinan,malnourished children 0-5 year old,10,11.8,10,5,5,8.2,8.5,7.9
Aurora,Campo Uno,children 0-5 year old who died,0,0,0,0,0,0,0,0
Aurora,Campo Uno,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Aurora,Campo Uno,malnourished children 0-5 year old,1,0.9,1,1,0,0.6,1.1,0
Aurora,Ceboneg,children 0-5 year old who died,0,0,0,0,0,0,0,0
Aurora,Ceboneg,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Aurora,Ceboneg,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Aurora,Commonwealth,children 0-5 year old who died,0,0,0,0,0,0,0,0
Aurora,Commonwealth,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Aurora,Commonwealth,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Aurora,Gubaan,children 0-5 year old who died,1,0.5,1,0,1,0.4,0,0.8
Aurora,Gubaan,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Aurora,Gubaan,malnourished children 0-5 year old,2,1.1,2,0,2,0.7,0,1.6
Aurora,Inasagan,children 0-5 year old who died,1,1.9,1,0,1,1.3,0,2.4
Aurora,Inasagan,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Aurora,Inasagan,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Aurora,Inroad,children 0-5 year old who died,0,0,0,0,0,0,0,0
Aurora,Inroad,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Aurora,Inroad,malnourished children 0-5 year old,8,21.1,11,5,6,16.9,16.7,17.1
Aurora,Kahayagan East (Katipunan),children 0-5 year old who died,0,0,0,0,0,0,0,0
Aurora,Kahayagan East (Katipunan),women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Aurora,Kahayagan East (Katipunan),malnourished children 0-5 year old,1,1.3,1,1,0,0.9,1.7,0
Aurora,Kahayagan West,children 0-5 year old who died,0,0,0,0,0,0,0,0
Aurora,Kahayagan West,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Aurora,Kahayagan West,malnourished children 0-5 year old,6,9,6,2,4,6.5,3.8,9.8
Bayog,Baking,children 0-5 year old who died,0,0,0,0,0,0,0,0
Bayog,Baking,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Bayog,Baking,malnourished children 0-5 year old,3,18.8,5,3,2,22.7,37.5,14.3
Bayog,Balukbahan,children 0-5 year old who died,0,0,0,0,0,0,0,0
Bayog,Balukbahan,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Bayog,Balukbahan,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Bayog,Balumbunan,children 0-5 year old who died,0,0,0,0,0,0,0,0
Bayog,Balumbunan,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Bayog,Balumbunan,malnourished children 0-5 year old,1,3.3,1,0,1,2.2,0,3.1
Bayog,Bantal,children 0-5 year old who died,0,0,0,0,0,0,0,0
Bayog,Bantal,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Bayog,Bantal,malnourished children 0-5 year old,20,46.5,33,12,21,49.3,42.9,53.8
Bayog,Bobuan,children 0-5 year old who died,0,0,0,0,0,0,0,0
Bayog,Bobuan,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Bayog,Bobuan,malnourished children 0-5 year old,1,1.1,1,1,0,0.7,1.5,0
Bayog,Camp Blessing,children 0-5 year old who died,0,0,0,0,0,0,0,0
Bayog,Camp Blessing,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Bayog,Camp Blessing,malnourished children 0-5 year old,1,3.1,1,0,1,2.4,0,4.3
Bayog,Canoayan,children 0-5 year old who died,1,1.5,1,0,1,0.9,0,1.7
Bayog,Canoayan,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Bayog,Canoayan,malnourished children 0-5 year old,19,29.2,34,18,16,30.4,34,27.1
Bayog,Conacon,children 0-5 year old who died,1,2,1,0,1,1.3,0,2
Bayog,Conacon,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Bayog,Conacon,malnourished children 0-5 year old,1,2,1,0,1,1.3,0,2
Bayog,Dagum,children 0-5 year old who died,1,3.8,1,1,0,2.4,4.8,0
Bayog,Dagum,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Bayog,Dagum,malnourished children 0-5 year old,1,4,1,0,1,2.5,0,5
Bayog,Damit,children 0-5 year old who died,0,0,0,0,0,0,0,0
Bayog,Damit,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Bayog,Damit,malnourished children 0-5 year old,1,0.7,1,0,1,0.5,0,1
Bayog,Datagan,children 0-5 year old who died,0,0,0,0,0,0,0,0
Bayog,Datagan,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Bayog,Datagan,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Bayog,Depase,children 0-5 year old who died,0,0,0,0,0,0,0,0
Bayog,Depase,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Bayog,Depase,malnourished children 0-5 year old,1,1,1,1,0,0.7,1.6,0
Bayog,Deporehan,children 0-5 year old who died,0,0,0,0,0,0,0,0
Bayog,Deporehan,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Bayog,Deporehan,malnourished children 0-5 year old,1,1.7,1,1,0,1.1,2,0
Bayog,Depore,children 0-5 year old who died,1,1,1,0,1,0.7,0,1.4
Bayog,Depore,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Bayog,Depore,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Dumalinao,Bag-ong Misamis,children 0-5 year old who died,0,0,0,0,0,0,0,0
Dumalinao,Bag-ong Misamis,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Dumalinao,Bag-ong Misamis,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Dumalinao,Baga,children 0-5 year old who died,0,0,0,0,0,0,0,0
Dumalinao,Baga,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Dumalinao,Baga,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Dumalinao,Bag-ong Silao,children 0-5 year old who died,0,0,0,0,0,0,0,0
Dumalinao,Bag-ong Silao,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Dumalinao,Bag-ong Silao,malnourished children 0-5 year old,1,1.4,1,1,0,1,2.1,0
Dumalinao,Baloboan,children 0-5 year old who died,0,0,0,0,0,0,0,0
Dumalinao,Baloboan,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Dumalinao,Baloboan,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Dumalinao,Banta-ao,children 0-5 year old who died,0,0,0,0,0,0,0,0
Dumalinao,Banta-ao,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Dumalinao,Banta-ao,malnourished children 0-5 year old,1,2.6,1,1,0,1.7,3,0
Dumalinao,Bibilik,children 0-5 year old who died,0,0,0,0,0,0,0,0
Dumalinao,Bibilik,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Dumalinao,Bibilik,malnourished children 0-5 year old,1,1,1,0,1,0.6,0,1.2
Dumalinao,Calingayan,children 0-5 year old who died,0,0,0,0,0,0,0,0
Dumalinao,Calingayan,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Dumalinao,Calingayan,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Dumalinao,Camalig,children 0-5 year old who died,0,0,0,0,0,0,0,0
Dumalinao,Camalig,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Dumalinao,Camalig,malnourished children 0-5 year old,1,2.2,1,1,0,1.4,2.9,0
Dumalinao,Camanga,children 0-5 year old who died,0,0,0,0,0,0,0,0
Dumalinao,Camanga,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Dumalinao,Camanga,malnourished children 0-5 year old,4,3.6,4,1,3,2.6,1.3,4.1
Dumalinao,Cuatro-cuatro,children 0-5 year old who died,0,0,0,0,0,0,0,0
Dumalinao,Cuatro-cuatro,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Dumalinao,Cuatro-cuatro,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Dumalinao,Locuban,children 0-5 year old who died,0,0,0,0,0,0,0,0
Dumalinao,Locuban,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Dumalinao,Locuban,malnourished children 0-5 year old,1,1.2,1,0,1,0.8,0,1.8
Dumalinao,Malasik,children 0-5 year old who died,0,0,0,0,0,0,0,0
Dumalinao,Malasik,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Dumalinao,Malasik,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Dumalinao,Mama (San Juan),children 0-5 year old who died,0,0,0,0,0,0,0,0
Dumalinao,Mama (San Juan),women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Dumalinao,Mama (San Juan),malnourished children 0-5 year old,13,18.6,16,6,10,14,10.2,18.2
Dumalinao,Matab-ang,children 0-5 year old who died,0,0,0,0,0,0,0,0
Dumalinao,Matab-ang,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Dumalinao,Matab-ang,malnourished children 0-5 year old,1,2.3,1,0,1,1.5,0,3.4
Guipos,Bagong Oroquieta,children 0-5 year old who died,1,0.8,1,0,1,0.5,0,1
Guipos,Bagong Oroquieta,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
Guipos,Bagong Oroquieta,malnourished children 0-5 year old,0,0,0,0,0,0,0,0
Guipos,Baguitan,children 0-5 year old who died,0,0,0,0,0,0,0,0
Guipos,Baguitan,women who died due to pregnancy related-causes,0,0,0,0,0,0,0,0
