city_or_municipality,barangay,household,households_magnitude,households_proportion,households_total,population_male_magnitude,population_female_magnitude,population_total_magnitude,population_male_proportion,population_female_proportion
Aurora,Acad,households living in makeshift housing,2,1.1,6,4,2,0.6,0.8,0.4
Aurora,Acad,households who are squatters,8,4.4,29,14,15,3,2.7,3.3
Aurora,Alang-alang,households living in makeshift housing,2,2.1,7,6,1,1.7,2.7,0.5
Aurora,Alang-alang,households who are squatters,2,2.1,6,4,2,1.4,1.8,1
Aurora,Alegria,households living in makeshift housing,0,0,0,0,0,0,0,0
Aurora,Alegria,households who are squatters,0,0,0,0,0,0,0,0
Aurora,Anonang,households living in makeshift housing,1,0.3,5,3,2,0.3,0.4,0.3
Aurora,Anonang,households who are squatters,7,2.2,47,25,22,3,3.1,2.8
Aurora,Bagong Mandaue,households living in makeshift housing,0,0,0,0,0,0,0,0
Aurora,Bagong Mandaue,households who are squatters,2,2.7,5,3,2,1.4,1.6,1.2
Aurora,Bagong Maslog,households living in makeshift housing,0,0,0,0,0,0,0,0
Aurora,Bagong Maslog,households who are squatters,0,0,0,0,0,0,0,0
Aurora,Bagong Oslob,households living in makeshift housing,38,31.4,163,78,85,30.4,28.6,32.2
Aurora,Bagong Oslob,households who are squatters,0,0,0,0,0,0,0,0
Aurora,Bagong Pitogo,households living in makeshift housing,1,1.2,8,5,3,2.3,2.7,1.9
Aurora,Bagong Pitogo,households who are squatters,0,0,0,0,0,0,0,0
Aurora,Baki,households living in makeshift housing,5,6.2,26,17,9,7.1,8.1,5.8
Aurora,Baki,households who are squatters,2,2.5,10,9,1,2.7,4.3,0.6
Aurora,Balas,households living in makeshift housing,40,11.5,194,97,97,10.7,9.9,11.6
Aurora,Balas,households who are squatters,31,8.9,157,90,67,8.6,9.2,8
Aurora,Balide,households living in makeshift housing,10,4.3,45,20,25,4.1,3.6,4.5
Aurora,Balide,households who are squatters,0,0,0,0,0,0,0,0
Aurora,Balintawak,households living in makeshift housing,27,9.1,98,56,42,7.1,7.8,6.3
Aurora,Balintawak,households who are squatters,5,1.7,26,17,9,1.9,2.4,1.4
Aurora,Bayabas,households living in makeshift housing,59,21.5,303,154,149,22.1,20.9,23.5
Aurora,Bayabas,households who are squatters,6,2.2,31,19,12,2.3,2.6,1.9
Aurora,Bemposa,households living in makeshift housing,1,0.7,2,1,1,0.3,0.3,0.4
Aurora,Bemposa,households who are squatters,1,0.7,2,1,1,0.3,0.3,0.4
Aurora,Cabilinan,households living in makeshift housing,4,2.3,28,13,15,3.2,3,3.5
Aurora,Cabilinan,households who are squatters,2,1.1,7,3,4,0.8,0.7,0.9
Aurora,Campo Uno,households living in makeshift housing,19,7.5,97,50,47,7.6,7.5,7.7
Aurora,Campo Uno,households who are squatters,26,10.3,131,71,60,10.3,10.7,9.8
Aurora,Ceboneg,households living in makeshift housing,0,0,0,0,0,0,0,0
Aurora,Ceboneg,households who are squatters,0,0,0,0,0,0,0,0
Aurora,Commonwealth,households living in makeshift housing,12,6.2,41,21,20,4.8,5.1,4.5
Aurora,Commonwealth,households who are squatters,1,0.5,0,0,0,0,0,0
Aurora,Gubaan,households living in makeshift housing,6,1.6,22,11,11,1.2,1.2,1.3
Aurora,Gubaan,households who are squatters,3,0.8,4,2,2,0.2,0.2,0.2
Aurora,Inasagan,households living in makeshift housing,1,0.8,5,2,3,0.8,0.7,1
Aurora,Inasagan,households who are squatters,1,0.8,3,2,1,0.5,0.7,0.3
Aurora,Inroad,households living in makeshift housing,0,0,0,0,0,0,0,0
Aurora,Inroad,households who are squatters,5,7.1,35,17,18,8.7,8.3,9.1
Aurora,Kahayagan East (Katipunan),households living in makeshift housing,3,1.6,10,6,4,1.2,1.5,0.9
Aurora,Kahayagan East (Katipunan),households who are squatters,15,7.9,83,38,45,9.8,9.2,10.4
Aurora,Kahayagan West,households living in makeshift housing,2,1.2,9,2,7,1.3,0.5,2.1
Aurora,Kahayagan West,households who are squatters,0,0,0,0,0,0,0,0
Bayog,Baking,households living in makeshift housing,4,8.3,16,10,6,7.2,8.1,6.1
Bayog,Baking,households who are squatters,6,12.5,23,14,9,10.4,11.4,9.1
Bayog,Balukbahan,households living in makeshift housing,27,11,125,66,58,10.5,10.4,10.6
Bayog,Balukbahan,households who are squatters,39,15.9,192,100,91,16.2,15.7,16.6
Bayog,Balumbunan,households living in makeshift housing,1,1.3,6,3,3,1.6,1.5,1.7
Bayog,Balumbunan,households who are squatters,4,5.3,20,9,11,5.2,4.5,6.1
Bayog,Bantal,households living in makeshift housing,8,11.1,32,14,18,8.9,8.2,9.5
Bayog,Bantal,households who are squatters,0,0,0,0,0,0,0,0
Bayog,Bobuan,households living in makeshift housing,14,6.9,64,33,31,6.3,6.4,6.2
Bayog,Bobuan,households who are squatters,4,2,14,10,4,1.4,1.9,0.8
Bayog,Camp Blessing,households living in makeshift housing,1,1.3,5,4,1,1.4,2.2,0.6
Bayog,Camp Blessing,households who are squatters,0,0,0,0,0,0,0,0
Bayog,Canoayan,households living in makeshift housing,19,15.8,101,50,51,15.3,14.9,15.6
Bayog,Canoayan,households who are squatters,4,3.3,29,16,13,4.4,4.8,4
Bayog,Conacon,households living in makeshift housing,5,5,9,7,2,1.8,2.7,0.8
Bayog,Conacon,households who are squatters,13,12.9,49,23,26,9.7,8.9,10.4
Bayog,Dagum,households living in makeshift housing,1,2.2,1,0,1,0.4,0,0.9
Bayog,Dagum,households who are squatters,4,8.7,29,15,14,12.5,12.4,12.6
Bayog,Damit,households living in makeshift housing,7,2.1,22,11,11,1.3,1.3,1.3
Bayog,Damit,households who are squatters,36,10.7,169,84,85,10,9.7,10.4
Bayog,Datagan,households living in makeshift housing,6,4.9,24,11,13,3.7,3.1,4.4
Bayog,Datagan,households who are squatters,2,1.6,7,4,3,1.1,1.1,1
Bayog,Depase,households living in makeshift housing,0,0,0,0,0,0,0,0
Bayog,Depase,households who are squatters,1,0.5,4,2,2,0.4,0.4,0.4
Bayog,Deporehan,households living in makeshift housing,11,9.9,58,30,28,10.2,10.3,10.1
Bayog,Deporehan,households who are squatters,1,0.9,9,5,4,1.6,1.7,1.4
Bayog,Depore,households living in makeshift housing,7,3.6,31,15,15,3.3,3.1,3.3
Bayog,Depore,households who are squatters,12,6.3,59,32,26,6.3,6.7,5.8
Dumalinao,Bag-ong Misamis,households living in makeshift housing,1,2.6,7,4,3,3.7,4.1,3.3
Dumalinao,Bag-ong Misamis,households who are squatters,3,7.9,11,6,5,5.9,6.2,5.6
Dumalinao,Baga,households living in makeshift housing,0,0,0,0,0,0,0,0
Dumalinao,Baga,households who are squatters,9,5.3,42,22,20,5.7,5.7,5.7
Dumalinao,Bag-ong Silao,households living in makeshift housing,0,0,0,0,0,0,0,0
Dumalinao,Bag-ong Silao,households who are squatters,10,6.5,51,27,24,7.3,7.6,7
Dumalinao,Baloboan,households living in makeshift housing,1,0.8,6,2,3,1.1,0.7,1.1
Dumalinao,Baloboan,households who are squatters,5,4,24,13,10,4.2,4.3,3.7
Dumalinao,Banta-ao,households living in makeshift housing,2,2.5,9,3,5,2.3,1.4,2.9
Dumalinao,Banta-ao,households who are squatters,2,2.5,10,5,4,2.6,2.4,2.4
Dumalinao,Bibilik,households living in makeshift housing,1,0.4,3,1,2,0.3,0.2,0.4
