city_or_municipality,barangay,victim,households_magnitude,households_proportion,households_total,population_male_magnitude,population_female_magnitude,population_total_magnitude,population_male_proportion,population_female_proportion
Aurora,Acad,victims of crime,2,1.1,2,1,1,0.2,0.2,0.2
Aurora,Alang-alang,victims of crime,0,0,0,0,0,0,0,0
Aurora,Alegria,victims of crime,0,0,0,0,0,0,0,0
Aurora,Anonang,victims of crime,0,0,0,0,0,0,0,0
Aurora,Bagong Mandaue,victims of crime,0,0,0,0,0,0,0,0
Aurora,Bagong Maslog,victims of crime,0,0,0,0,0,0,0,0
Aurora,Bagong Oslob,victims of crime,0,0,0,0,0,0,0,0
Aurora,Bagong Pitogo,victims of crime,0,0,0,0,0,0,0,0
Aurora,Baki,victims of crime,0,0,0,0,0,0,0,0
Aurora,Balas,victims of crime,2,0.6,2,2,0,0.1,0.2,0
Aurora,Balide,victims of crime,0,0,0,0,0,0,0,0
Aurora,Balintawak,victims of crime,1,0.3,1,1,0,0.1,0.1,0
Aurora,Bayabas,victims of crime,0,0,0,0,0,0,0,0
Aurora,Bemposa,victims of crime,0,0,0,0,0,0,0,0
Aurora,Cabilinan,victims of crime,2,1.1,2,1,1,0.2,0.2,0.2
Aurora,Campo Uno,victims of crime,0,0,0,0,0,0,0,0
Aurora,Ceboneg,victims of crime,0,0,0,0,0,0,0,0
Aurora,Commonwealth,victims of crime,0,0,0,0,0,0,0,0
Aurora,Gubaan,victims of crime,0,0,0,0,0,0,0,0
Aurora,Inasagan,victims of crime,4,3.1,5,5,0,0.8,1.6,0
Aurora,Inroad,victims of crime,2,2.9,2,2,0,0.5,1,0
Aurora,Kahayagan East (Katipunan),victims of crime,8,4.2,12,12,0,1.4,2.9,0
Aurora,Kahayagan West,victims of crime,1,0.6,1,1,0,0.1,0.3,0
Bayog,Baking,victims of crime,0,0,0,0,0,0,0,0
Bayog,Balukbahan,victims of crime,0,0,0,0,0,0,0,0
Bayog,Balumbunan,victims of crime,0,0,0,0,0,0,0,0
Bayog,Bantal,victims of crime,1,1.4,1,1,0,0.3,0.6,0
Bayog,Bobuan,victims of crime,0,0,0,0,0,0,0,0
Bayog,Camp Blessing,victims of crime,0,0,0,0,0,0,0,0
Bayog,Canoayan,victims of crime,0,0,0,0,0,0,0,0
Bayog,Conacon,victims of crime,1,1,1,1,0,0.2,0.4,0
Bayog,Dagum,victims of crime,0,0,0,0,0,0,0,0
Bayog,Damit,victims of crime,2,0.6,3,2,1,0.2,0.2,0.1
Bayog,Datagan,victims of crime,0,0,0,0,0,0,0,0
Bayog,Depase,victims of crime,0,0,0,0,0,0,0,0
Bayog,Deporehan,victims of crime,0,0,0,0,0,0,0,0
Bayog,Depore,victims of crime,4,2.1,6,3,3,0.6,0.6,0.7
Dumalinao,Bag-ong Misamis,victims of crime,0,0,0,0,0,0,0,0
Dumalinao,Baga,victims of crime,0,0,0,0,0,0,0,0
Dumalinao,Bag-ong Silao,victims of crime,1,0.6,2,1,1,0.3,0.3,0.3
Dumalinao,Baloboan,victims of crime,0,0,0,0,0,0,0,0
Dumalinao,Banta-ao,victims of crime,0,0,0,0,0,0,0,0
Dumalinao,Bibilik,victims of crime,0,0,0,0,0,0,0,0
Dumalinao,Calingayan,victims of crime,0,0,0,0,0,0,0,0
Dumalinao,Camalig,victims of crime,0,0,0,0,0,0,0,0
Dumalinao,Camanga,victims of crime,0,0,0,0,0,0,0,0
Dumalinao,Cuatro-cuatro,victims of crime,0,0,0,0,0,0,0,0
Dumalinao,Locuban,victims of crime,0,0,0,0,0,0,0,0
Dumalinao,Malasik,victims of crime,0,0,0,0,0,0,0,0
Dumalinao,Mama (San Juan),victims of crime,0,0,0,0,0,0,0,0
Dumalinao,Matab-ang,victims of crime,0,0,0,0,0,0,0,0
Guipos,Bagong Oroquieta,victims of crime,0,0,0,0,0,0,0,0
Guipos,Baguitan,victims of crime,0,0,0,0,0,0,0,0
Guipos,Balongating,victims of crime,0,0,0,0,0,0,0,0
Guipos,Canunan,victims of crime,0,0,0,0,0,0,0,0
Guipos,Dacsol,victims of crime,0,0,0,0,0,0,0,0
Guipos,Dagohoy,victims of crime,0,0,0,0,0,0,0,0
Guipos,Dalapang,victims of crime,0,0,0,0,0,0,0,0
Guipos,Datagan,victims of crime,0,0,0,0,0,0,0,0
Guipos,Poblacion (Guipos),victims of crime,0,0,0,0,0,0,0,0
Guipos,Guling,victims of crime,0,0,0,0,0,0,0,0
Guipos,Katipunan,victims of crime,0,0,0,0,0,0,0,0
Guipos,Lintum,victims of crime,0,0,0,0,0,0,0,0
Guipos,Litan,victims of crime,0,0,0,0,0,0,0,0
Guipos,Magting,victims of crime,0,0,0,0,0,0,0,0
Josefina,Bogo Calabat,victims of crime,15,8.8,19,15,4,2.3,3.4,1
Josefina,Dawa (Diwa),victims of crime,3,1.9,7,5,2,0.9,1.3,0.5
Josefina,Ebarle,victims of crime,0,0,0,0,0,0,0,0
Josefina,Upper Bagong Tudela Poblacion,victims of crime,7,2.4,10,8,2,0.7,1.1,0.3
Josefina,Leonardo,victims of crime,4,3.6,5,5,0,0.9,1.8,0
Josefina,Litapan,victims of crime,0,0,0,0,0,0,0,0
Josefina,Lower Bagong Tudela,victims of crime,0,0,0,0,0,0,0,0
Josefina,Mansanas,victims of crime,0,0,0,0,0,0,0,0
Josefina,Moradji,victims of crime,0,0,0,0,0,0,0,0
Josefina,Nemeno,victims of crime,0,0,0,0,0,0,0,0
Josefina,Nopulan,victims of crime,0,0,0,0,0,0,0,0
Josefina,Sebukang,victims of crime,0,0,0,0,0,0,0,0
Josefina,Tagaytay Hill,victims of crime,0,0,0,0,0,0,0,0
Josefina,Gumahan Poblacion,victims of crime,5,1.7,9,8,1,0.7,1.2,0.1
Kumalarang,Bogayo,victims of crime,0,0,0,0,0,0,0,0
Kumalarang,Bolisong,victims of crime,3,2.3,7,3,4,1,0.8,1.3
Kumalarang,Bualan,victims of crime,0,0,0,0,0,0,0,0
